timestamp,amcl_x,amcl_y,amcl_yaw,mocap_x,mocap_y,mocap_yaw,error_x,error_y,error_yaw,error_distance
1758575134.605144,0.0,0.0,0.0,-3.844499588012695e-05,2.384185791015625e-06,0.00032603399615227513,3.844499588012695e-05,-2.384185791015625e-06,-0.00032603399615227513,3.851885317749036e-05
1758575135.112626,0.0,0.0,0.0,-7.575750350952148e-05,-2.0503997802734375e-05,0.000564805232072807,7.575750350952148e-05,2.0503997802734375e-05,-0.000564805232072807,7.848320370556808e-05
1758575135.611231,0.0,0.0,0.0,0.0010998845100402832,0.0007921457290649414,-0.017774989691923038,-0.0010998845100402832,-0.0007921457290649414,0.017774989691923038,0.0013554485573058026
1758575136.111651,0.0,0.0,0.0,-7.396936416625977e-05,-6.145238876342773e-05,0.0009427300638714664,7.396936416625977e-05,6.145238876342773e-05,-0.0009427300638714664,9.6165809516128e-05
1758575136.607107,0.0,0.0,0.0,0.0002537369728088379,8.374452590942383e-05,-0.001180325902451984,-0.0002537369728088379,-8.374452590942383e-05,0.001180325902451984,0.0002671995452653075
1758575137.108918,0.0,0.0,0.0,-8.606910705566406e-05,-8.922815322875977e-05,0.0009835689736489295,8.606910705566406e-05,8.922815322875977e-05,-0.0009835689736489293,0.00012397400742887355
1758575137.610447,0.0,0.0,0.0,-1.7881393432617188e-07,1.1026859283447266e-05,0.0005238320642373395,1.7881393432617188e-07,-1.1026859283447266e-05,-0.0005238320642373395,1.1028309030855833e-05
1758575138.108238,0.0,0.0,0.0,-2.276897430419922e-05,7.849931716918945e-05,0.0007150858462189325,2.276897430419922e-05,-7.849931716918945e-05,-0.0007150858462189326,8.17347477324931e-05
1758575138.612354,0.0,0.0,0.0,-8.547306060791016e-05,-0.00010591745376586914,0.0008893931295534951,8.547306060791016e-05,0.00010591745376586914,-0.0008893931295534951,0.00013610345734744767
1758575139.108306,0.0,0.0,0.0,-3.2842159271240234e-05,-9.775161743164062e-06,0.0006769679776031934,3.2842159271240234e-05,9.775161743164062e-06,-0.0006769679776031934,3.426603584750546e-05
1758575139.608589,0.0,0.0,0.0,0.00022459030151367188,7.283687591552734e-05,-0.0008217693035411644,-0.00022459030151367188,-7.283687591552734e-05,0.0008217693035411644,0.0002361059381445879
1758575140.117904,0.0,0.0,0.0,-7.647275924682617e-05,-1.8537044525146484e-05,0.0007777057915728802,7.647275924682617e-05,1.8537044525146484e-05,-0.0007777057915728802,7.868738734098561e-05
1758575140.617886,1.8359220281577468e-18,6.252777216217332e-19,0.0,-4.190206527709961e-05,-5.0067901611328125e-06,0.0006352237671950478,4.1902065277101446e-05,5.006790161133438e-06,-0.0006352237671950479,4.220013059463315e-05
1758575141.150248,0.0,0.0,0.0,-4.488229751586914e-05,-5.161762237548828e-05,0.0006387321255162393,4.488229751586914e-05,5.161762237548828e-05,-0.0006387321255162393,6.840175122028311e-05
1758575141.615583,0.0,0.0,0.0,-9.268522262573242e-05,-6.210803985595703e-05,0.0008377705591098294,9.268522262573242e-05,6.210803985595703e-05,-0.0008377705591098294,0.00011157042219123636
1758575142.109976,0.0,0.0,0.0,-7.665157318115234e-05,-6.198883056640625e-05,0.00046515938968705317,7.665157318115234e-05,6.198883056640625e-05,-0.00046515938968705317,9.858031642339243e-05
1758575142.608352,0.0,0.0,0.0,-5.543231964111328e-06,4.0411949157714844e-05,0.00031739749115633487,5.543231964111328e-06,-4.0411949157714844e-05,-0.00031739749115633487,4.079035493022431e-05
1758575143.126544,0.0,0.0,0.0,-1.7940998077392578e-05,4.231929779052734e-06,0.0001755784423712603,1.7940998077392578e-05,-4.231929779052734e-06,-0.00017557844237126033,1.8433356766141035e-05
1758575143.61433,0.0,0.0,0.0,-6.788969039916992e-05,-3.135204315185547e-05,0.0006812024629510027,6.788969039916992e-05,3.135204315185547e-05,-0.0006812024629510027,7.47794134256946e-05
1758575144.114267,0.0,0.0,0.0,0.0002601742744445801,0.00011134147644042969,-0.0009140064673459625,-0.0002601742744445801,-0.00011134147644042969,0.0009140064673459625,0.0002829974866649851
1758575144.616175,-6.172954942802426e-19,6.09313266938752e-19,0.0,-1.33514404296875e-05,-1.0669231414794922e-05,-0.0001216847624827544,1.3351440429686883e-05,1.0669231414795532e-05,0.0001216847624827544,1.709074195375781e-05
1758575145.119192,0.0,0.0,0.0,-6.520748138427734e-05,-1.0728836059570312e-05,0.00042441080164323797,6.520748138427734e-05,1.0728836059570312e-05,-0.00042441080164323797,6.608421560156414e-05
1758575145.621017,-6.172954942802426e-19,6.09313266938752e-19,0.0,-3.62396240234375e-05,-4.380941390991211e-05,0.000408308968122828,3.623962402343688e-05,4.380941390991272e-05,-0.000408308968122828,5.685573934520699e-05
1758575146.120984,0.0,0.0,0.0,-0.00010180473327636719,-0.0001119375228881836,0.0010607628266369185,0.00010180473327636719,0.0001119375228881836,-0.0010607628266369185,0.00015130833667651922
1758575146.645711,-6.172954942802426e-19,6.09313266938752e-19,0.0,-2.7000904083251953e-05,1.049041748046875e-05,0.0004517246487188986,2.7000904083251336e-05,-1.049041748046814e-05,-0.0004517246487188986,2.8967182814824265e-05
1758575147.120248,0.0,0.0,0.0,1.6748905181884766e-05,-1.7821788787841797e-05,0.00018101485287369545,-1.6748905181884766e-05,1.7821788787841797e-05,-0.00018101485287369548,2.4456941353943056e-05
1758575147.624421,0.0,0.0,0.0,0.0002562999725341797,0.00010699033737182617,-0.0009501583861203367,-0.0002562999725341797,-0.00010699033737182617,0.0009501583861203367,0.00027773478034261113
